Accident_Id;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202200001434;8;8;2022;12:00;1;83;83019;1;1;1;1;rd98;43,1496300000;6,2976550000
202200001435;6;8;2022;23:00;3;71;71341;2;1;1;3;Rue Principale;46,9545280000;5,0334550000
202200001436;5;8;2022;10:05;1;74;74314;2;9;1;6;Route de Faramaz;46,1017420000;5,9366550000
202200001437;6;8;2022;18:20;1;79;79012;1;1;1;7;;46,4463440000; -0,5856870000
202200001438;8;8;2022;18:45;1;80;80050;1;1;1;7;Voie communale 4 direction Clairy Saulchoix;49,8359900000;2,2168350000
202200001439;8;8;2022;16:15;1;81;81288;2;3;1;2;D629 PK 2+120  ST fereol;43,4329770000;2,0496580000
202200001440;9;7;2022;22:30;5;49;49266;2;1;1;6;Rue de Saint-Georges;47,4575450000; -0,7933970000
202200001441;7;8;2022;17:45;1;46;46039;1;1;7;6;route départementale 38;44,5805150000;1,8305650000
202200001442;7;8;2022;22:15;3;68;68270;1;1;1;6;Rue de Kingersheim;47,7875850000;7,2787860000
202200001443;7;8;2022;19:00;1;39;39269;1;1;1;1;;46,3629340000;5,7085340000
202200001444;7;8;2022;15:15;1;25;25453;2;1;1;2;Rue de Laviron;47,2180780000;6,5426110000
202200001445;8;8;2022;08:55;1;25;25036;2;1;1;6;16 rue Saint-Vincent;47,2018290000;5,9620090000
202200001446;8;8;2022;17:05;1;35;35162;1;1;1;1;Roche Gaudin;48,4665607212; -1,1727395654
202200001447;7;8;2022;15:10;1;70;70516;1;2;1;3;D9;47,5580480000;6,2964050000
202200001448;8;8;2022;05:15;2;58;58115;1;1;1;6;D116;46,8442140000;3,3066060000
202200001449;7;8;2022;20:58;2;54;54205;1;1;7;2;N4;48,6708284110;5,7811045648
202200001450;8;8;2022;08:00;1;06;06010;1;1;1;7;166 Route de Gourdon;43,6859860000;6,9749720000
202200001451;6;8;2022;23:40;3;50;50604;1;1;1;1;Le Hameau Bourget;49,5421040000; -1,8401780000
202200001452;7;8;2022;06:30;2;64;64010;1;1;1;6;D933;43,3405980000; -1,0121370000
202200001453;5;8;2022;07:40;2;64;64297;1;1;1;6;Route départementale 422;43,1955010000; -1,1677910000
202200001454;8;8;2022;14:23;1;16;16028;2;1;1;6;Route de Chalais;45,4588020000; -0,1523440000
202200001455;7;8;2022;20:05;1;53;53005;1;1;1;6;le bordage;48,1782780000; -0,7615540000
202200001456;7;8;2022;14:34;1;27;27204;1;1;1;1;D14bis;49,3085610000;1,5793490000
202200001457;8;8;2022;00:50;3;17;17434;1;1;1;7;rd 209;46,1183610000; -0,7272650000
202200001458;7;8;2022;17:40;1;30;30245;2;1;1;6;Route de Clarensac;43,8287900000;4,2045850000
202200001459;7;8;2022;18:16;1;30;30062;1;1;1;6;;43,8042850000;4,1958200000
202200001460;26;7;2022;14:45;1;08;08017;1;1;1;6;RD 242;49,2696350000;4,9922990000
202200001461;7;8;2022;15:30;1;08;08361;2;1;1;1;;49,8390860000;4,6036680000
202200001462;6;5;2022;16:05;1;57;57145;1;1;1;2;Ogy-Montoy-Flanville;49,1173520000;6,2609410000
202200001463;6;5;2022;18:15;1;74;74154;1;1;1;2;Route de Thollon;46,4001670000;6,6724390000
202200001464;1;8;2022;15:22;1;68;68242;1;1;1;2;autoroute a35;47,9760900000;7,3735000000
202200001465;1;5;2022;13:30;1;01;01386;1;1;1;7;D60b;45,8927670000;5,3622940000
202200001466;5;5;2022;18:25;1;65;65019;1;3;1;3;Intersection D935 - Rue du Claret;43,1464480000;0,0929870000
202200001467;6;8;2022;20:00;1;68;68234;1;1;1;6;autoroute A35;47,9575710000;7,3673200000
202200001468;25;4;2022;18:30;1;17;17118;1;3;1;3;Route de la Grosse Pierre;45,2425310000; -0,4034130000
202200001469;6;8;2022;02:30;3;56;56129;1;1;1;6;Couesnehan;48,1253240000; -2,4915470000
202200001470;5;5;2022;09:40;1;44;44103;1;1;1;5;Pont de Saint-Nazaire;47,2822600000; -2,1685260000
202200001471;15;4;2022;10:17;1;57;57104;1;2;1;3;D57;49,4385800000;6,2057950000
202200001472;4;5;2022;10:10;1;13;13106;1;1;1;2;A51-Sens Aix en Provence vers Marseille;43,3955360297;5,3510924480
202200001473;8;8;2022;07:10;1;10;10375;1;1;1;6;A26;48,2866000000;4,1649130000
202200001474;1;5;2022;19:57;2;13;13211;1;1;1;3;A50-Sens Aubagne vers Marseille;43,2945000000;5,4689000000
202200001475;14;4;2022;21:35;5;33;33162;1;1;1;2;ROCADE A 630;44,8770900000; -0,6319500000
202200001476;8;8;2022;10:00;1;24;24035;1;1;1;6;Le Poteau de Bos;44,7516590000;0,9688030000
202200001477;4;5;2022;08:30;1;91;91692;1;1;1;4;RN 118;48,6811400000;2,1904600000
202200001478;4;5;2022;20:00;1;92;92050;1;1;2;3;A86;48,8996570000;2,1999880000
202200001479;4;5;2022;18:15;1;93;93053;1;1;1;2;AUTOROUTE A103;48,9020700000;2,4681400000
202200001480;29;7;2022;22:30;3;35;35210;1;1;1;6;RN12;48,1449200000; -1,7826245484
202200001481;4;5;2022;00:20;3;93;93006;1;1;1;3;AUTOROUTE A3;48,8658300000;2,4205800000
202200001482;4;5;2022;06:40;1;94;94033;1;1;1;2;A86.INT;48,8491582156;2,4907286998
202200001483;3;5;2022;20:00;5;974;97416;2;1;1;6;POUDRIERE (RUE DE LA); -21,3365000000;55,4565900000
202200001484;3;5;2022;06:45;1;974;97416;1;1;1;2;RN1 (ROUTE NATIONALE); -21,3280200000;55,4518000000
202200001485;5;8;2022;18:03;1;01;01151;1;1;1;3;A40 PK 148+600;46,0793471966;5,2959734201
202200001486;2;5;2022;12:20;1;974;97411;2;2;1;3;JAURES (BOULEVARD JEAN); -20,8900500000;55,4529000000
202200001487;8;8;2022;05:50;3;47;47225;1;1;1;2;A62;44,1857527781;0,5447412680
202200001488;2;5;2022;11:10;1;974;97411;2;1;1;6;BOUVET; -20,8868600000;55,4631800000
202200001489;7;8;2022;16:00;1;38;38253;1;1;1;5;D1091;45,0338920000;6,0915060000
202200001490;2;5;2022;17:15;1;974;97407;1;9;1;1;MASCAREIGNES(BOULEVARD); -20,9494500000;55,3024500000
202200001491;3;5;2022;07:35;1;973;97302;2;1;8;7;MANDELA  (BOULEVARD);4,9374600000; -52,3261100000
202200001492;7;8;2022;20:00;5;987;98747;2;1;1;1;Pk 59 RT01; -17,7560000000; -148,7360000000
202200001493;3;5;2022;17:40;1;69;69387;2;1;1;3;Avenue Debourg;45,7315176014;4,8285341263
202200001494;3;5;2022;16:05;1;69;69388;2;1;1;3;Avenue Jean Mermoz;45,7351800000;4,8731300000
202200001495;3;5;2022;13:30;1;69;69387;2;1;1;3;Avenue Leclerc;45,7382322188;4,8251652718
202200001496;3;5;2022;08:15;1;69;69387;2;2;1;3;Rue Domer;45,7474400000;4,8487700000
202200001497;3;5;2022;18:10;1;69;69389;2;7;1;3;Place Dumas de Loire;45,7730484312;4,8053115606
202200001498;3;5;2022;18:00;1;2A;2A004;2;1;1;3;SARTENE ANCIENNE ROUTE;41,9300500000;8,7623600000
202200001499;3;5;2022;21:45;5;91;91201;2;1;1;7;AV GAMBETTA;48,6840000000;2,4130000000
202200001500;3;5;2022;00:25;5;91;91432;2;1;1;1;AV DES FROIDES BOUILLIES;48,7070350000;2,3471400000
