Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202200001572;4;BOULEVARD PERIPHERIQUE;0;;1;3;0;1;9;200;1;; -1;1;0;1;70
202200001573;4;BOULEVARD VINCENT AURIOL;0;;3;3;0;2;(1);(1);1;; -1;1;0;1;30
202200001574;4;QUAI DE VALMY;0;;1;2;0;1;(1);(1);1;; -1;1;0;1;30
202200001575;4;BOULEVARD DE CHARONNE;0;;3;2;0;1;(1);(1);1;; -1;1;0;1;30
202200001576;4;BOULEVARD BEAUMARCHAIS;0;;1;2;3;1;(1);(1);1;; -1;1;0;1;30
202200001577;4;RUE PIERRE CHARRON;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202200001578;4;LAFAYETTE (R);0;;-1;1;0;1;0;0;1;; -1;1;0;1;30
202200001579;3;JEAN JAURES (R);0;;2;2;0;1;0;1;1;; -1;1;0;1;50
202200001580;4;RUE ROYALE;0;;2;5;0;1;(1);(1);1;; -1;1;0;1;30
202200001581;3;PARIS (R DE);0;;2;2;2;1;0;1;1;; -1;1;0;1;30
202200001582;4;EDOUARD-VAILLANT(RUE);0;;1;1;0;1;0;0;1;; -1;1;0;1;50
202200001583;4;RUE MORNAY;0;;1;1;0;1;(1);(1);1;; -1;1;0;1;30
202200001584;3;EDOUARD VAILLANT DU 2/38.;0;;2;2;0;1;0;1;1;; -1;1;0;1;50
202200001585;6;AMBROISE PARE (RUE);0;;-1; -1;0;1;0;0;1;; -1;1;0;1;30
202200001586;4;RUE CHAPON;0;;2;2;1;1;(1);(1);1;; -1;1;-1;5;30
202200001587;3;907;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202200001589;3;STALINGRAD (BD DE);0;;1;2;0;1;82;0;1;; -1;1;0;1;50
202200001591;3;907;0;;2;2;2;1;0;0;1;; -1;1;0;1;50
202200001592;3;2085;-1;;2;2;0;2;22;134;3;; -1;1;0;3;70
202200001593;3;84;0;D;2;2;0;4;56;400;2;; -1;1;0;3;80
202200001594;3;BAC (AV DU);0;;2;2;0;2;0;0;1;; -1;1;5;1;30
202200001595;3;180;0;D;2;2;0;1;5;825;2;; -1;1;0;1;50
202200001596;3;429;0;D;2;2;0;1;9;700;1;; -1;1;0;1;50
202200001598;3;3;-1;;2;2;0;1;2;262;1;; -1;1;2;1;80
202200001599;3;CONVENTION (AV DE LA);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202200001600;3;AV PAUL VAILLANT COUTURIER;0;;1;1;2;1;0;0;1;; -1;1;5;1;30
202200001601;3;430;-1;;2;2;0;1;2;500;1;; -1;1;0;3;80
202200001602;3;79;0;A;2;2;0;3;16;400;1;; -1;1;0;8;80
